"id";"date";"truck_id";"nbags";"net_weight";"origin";"supplier";"moisture";"nut_count";"outturn";"defective";"price";"year";"month";"day";"avg_wpb"
194;"2015-05-09";12;403;35237;9;75;11.76;181.0;47.08;7.8;"";2015;5;9;87.43672456575682
195;"2015-05-09";121;523;39801;66;119;12.7;190.0;43.2;18.3;"";2015;5;9;76.10133843212238
196;"2015-05-11";122;422;37982;60;118;10.56;167.0;43.91;11.25;"";2015;5;11;90.00473933649289
197;"2015-05-11";23;402;35738;9;84;11.4;199.0;45.06;15.5;"";2015;5;11;88.90049751243781
198;"2015-05-11";123;469;40751;75;14;6.61;196.0;46.29;9.4;"";2015;5;11;86.88912579957356
199;"2015-05-12";124;460;39252;66;119;13.0;191.0;42.15;22.5;"";2015;5;12;85.33043478260869
200;"2015-05-11";19;400;35376;9;75;10.8;180.0;48.31;7.7;"";2015;5;11;88.44
201;"2015-05-12";125;412;38992;60;118;14.3;171.0;44.61;11.55;"";2015;5;12;94.64077669902913
202;"2015-05-12";126;523;40485;11;14;9.26;174.0;41.0;19.2;"";2015;5;12;77.40917782026769
203;"2015-05-13";127;457;34303;66;119;15.46;170.0;44.08;14.7;"";2015;5;13;75.06126914660831
204;"2015-05-13";43;420;37040;7;114;11.5;175.0;46.11;11.85;"";2015;5;13;88.19047619047619
205;"2015-05-15";23;295;25145;9;84;11.33;197.0;47.17;11.0;"";2015;5;15;85.23728813559322
206;"2015-05-15";12;390;35326;9;75;12.06;172.0;49.36;6.7;"";2015;5;15;90.57948717948717
207;"2015-05-15";77;447;40665;9;75;14.36;180.0;48.22;8.2;"";2015;5;15;90.97315436241611
208;"2015-05-16";12;397;34615;9;75;15.1;175.0;46.99;10.7;"";2015;5;16;87.19143576826197
209;"2015-05-16";19;380;34560;9;75;16.6;169.0;48.05;6.9;"";2015;5;16;90.94736842105263
210;"2015-05-16";21;459;37843;66;119;15.36;174.0;43.56;19.4;"";2015;5;16;82.44662309368192
211;"2015-05-18";100;147;13037;32;70;12.86;172.0;46.64;13.0;"";2015;5;18;88.68707482993197
212;"2015-05-18";125;433;38451;60;118;10.5;171.0;45.06;10.2;"";2015;5;18;88.8013856812933
213;"2015-05-18";128;495;39941;66;119;15.23;181.0;45.05;17.3;"";2015;5;18;80.68888888888888
214;"2015-05-19";129;399;34917;9;75;13.3;180.0;46.2;11.25;"";2015;5;19;87.51127819548873
215;"2015-05-21";130;470;40430;66;119;13.3;177.0;44.7;15.3;"";2015;5;21;86.02127659574468
216;"2015-05-23";13;435;36809;66;119;14.6;169.0;44.44;12.95;"";2015;5;23;84.6183908045977
217;"2015-05-26";9;420;36700;44;20;10.5;172.0;44.08;20.5;"";2015;5;26;87.38095238095238
218;"2015-05-26";131;436;36968;71;108;13.93;172.0;40.65;21.05;"";2015;5;26;84.78899082568807
219;"2015-05-28";12;412;36340;36;20;11.56;200.0;47.67;10.1;"";2015;5;28;88.20388349514563
220;"2015-05-28";19;428;36972;36;20;11.46;197.0;47.25;11.95;"";2015;5;28;86.38317757009345
221;"2015-05-29";23;428;36344;44;20;11.59;204.0;43.2;15.3;"";2015;5;29;84.91588785046729
222;"2015-06-01";15;369;37843;21;60;11.1;195.0;42.0;17.2;"";2015;6;1;102.55555555555556
223;"2015-06-04";26;445;35563;71;108;13.0;190.0;41.53;24.2;"";2015;6;4;79.91685393258427
224;"2016-03-10";100;201;18567;32;32;13.0;190.0;47.43;14.09;"525.0";2016;3;10;92.3731343283582
225;"2016-03-10";132;464;40148;66;43;11.6;195.0;47.69;12.4;"550.0";2016;3;10;86.52586206896552
226;"2016-03-10";18;376;35584;82;107;8.53;198.0;46.46;12.2;"575.0";2016;3;10;94.63829787234043
227;"2016-03-14";133;467;40817;66;43;12.6;200.0;45.84;15.6;"580.0";2016;3;14;87.40256959314775
228;"2016-03-14";134;271;26433;32;32;11.9;185.0;48.04;9.9;"550.0";2016;3;14;97.53874538745387
229;"2016-03-14";135;442;40866;19;34;10.5;196.0;47.34;9.8;"600.0";2016;3;14;92.45701357466064
230;"2016-03-15";136;474;40050;66;43;18.0;189.0;45.4;12.8;"590.0";2016;3;15;84.49367088607595
231;"2016-03-16";137;441;39559;66;43;14.0;187.0;46.11;13.9;"590.0";2016;3;16;89.70294784580499
232;"2016-03-16";73;416;40088;82;107;21.2;174.0;44.35;14.8;"600.0";2016;3;16;96.36538461538461
233;"2016-03-17";138;446;36998;87;43;13.2;187.0;46.28;13.3;"590.0";2016;3;17;82.95515695067265
234;"2016-03-17";139;423;37573;87;43;12.3;194.0;46.12;14.3;"590.0";2016;3;17;88.82505910165484
235;"2016-03-17";9;367;34629;9;79;10.06;189.0;45.4;11.8;"600.0";2016;3;17;94.35694822888283
236;"2016-03-18";18;391;35489;82;107;13.2;195.0;46.37;16.1;"600.0";2016;3;18;90.76470588235294
237;"2016-03-18";140;480;37532;66;43;11.9;196.0;47.87;15.0;"600.0";2016;3;18;78.19166666666666
238;"2016-03-18";141;469;40407;66;43;9.6;205.0;46.9;14.4;"600.0";2016;3;18;86.15565031982942
239;"2016-03-18";142;403;36721;87;43;13.2;194.0;47.16;13.2;"600.0";2016;3;18;91.11910669975187
240;"2016-03-18";143;485;39559;9;73;10.23;200.0;46.37;14.1;"600.0";2016;3;18;81.56494845360825
241;"2016-03-19";100;181;17899;32;32;9.8;190.0;46.64;16.0;"590.0";2016;3;19;98.88950276243094
242;"2016-03-19";144;445;40295;66;44;14.1;200.0;49.93;14.0;"600.0";2016;3;19;90.5505617977528
243;"2016-03-19";145;440;38660;87;45;13.2;192.0;45.67;13.8;"600.0";2016;3;19;87.86363636363636
244;"2016-03-19";13;427;37773;55;4;11.2;205.0;46.11;15.0;"600.0";2016;3;19;88.46135831381733
245;"2016-03-21";137;459;40333;66;43;14.7;196.0;45.58;15.8;"600.0";2016;3;21;87.87145969498911
246;"2016-03-21";146;430;36666;66;43;15.3;201.0;42.32;19.1;"600.0";2016;3;21;85.26976744186047
247;"2016-03-21";20;468;41192;11;12;11.7;195.0;42.94;22.3;"610.0";2016;3;21;88.01709401709402
248;"2016-03-21";139;420;36760;66;43;15.56;192.0;46.64;16.0;"600.0";2016;3;21;87.52380952380952
249;"2016-03-21";147;432;39708;78;96;14.8;192.0;46.46;17.5;"610.0";2016;3;21;91.91666666666667
250;"2016-03-21";9;380;35176;9;79;12.1;190.0;45.49;15.5;"610.0";2016;3;21;92.56842105263158
251;"2016-03-21";12;369;34651;9;72;13.46;195.0;47.16;12.6;"610.0";2016;3;21;93.90514905149051
